City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,harstad,68.799,16.5293,21.15,73,66,4.05,NO,1712084750
1,nar'yan-mar,67.6713,53.087,-3.89,93,5,8.01,RU,1712084751
2,longyearbyen,78.2186,15.6401,-0.56,65,40,4.61,SJ,1712084752
3,sainte-suzanne,-20.9061,55.6089,77.22,88,75,17.27,RE,1712084753
4,utrik,11.2278,169.8474,79.93,77,100,16.4,MH,1712084753
5,pemba,-12.974,40.5178,81.81,80,100,10.76,MZ,1712084754
6,kodiak,57.79,-152.4072,24.49,46,0,8.14,US,1712084614
7,grytviken,-54.2811,-36.5092,39.49,73,26,7.94,GS,1712084756
8,tromso,69.6496,18.957,24.82,63,75,16.11,NO,1712084757
9,port-aux-francais,-49.35,70.2167,44.53,79,59,30.29,TF,1712084758
10,isafjordur,66.0755,-23.124,27.34,72,33,5.97,IS,1712084759
11,kapuskasing,49.4169,-82.4331,41.09,33,20,13.8,CA,1712084522
12,alice springs,-23.7,133.8833,63.21,54,0,5.01,AU,1712084764
13,tiksi,71.6872,128.8694,-17.88,99,46,8.05,RU,1712084765
14,stanley,54.868,-1.6985,49.59,92,75,2.3,GB,1712084533
15,wailua homesteads,22.0669,-159.378,77.43,73,75,16.11,US,1712084767
16,margaret river,-33.95,115.0667,51.62,83,0,12.77,AU,1712084559
17,puerto ayora,-0.7393,-90.3518,84.16,91,90,8.99,EC,1712084768
18,constantia,44.1833,28.65,65.08,46,100,9.6,RO,1712084532
19,san patricio,28.017,-97.5169,87.75,22,0,15.75,US,1712084769
20,bethel,41.3712,-73.414,47.46,84,100,3.0,US,1712084535
21,tanumah,27.1,44.1333,74.75,15,98,10.11,SA,1712084771
22,qusmuryn,52.4503,64.6311,32.52,93,11,7.7,KZ,1712084772
23,sitka,57.0531,-135.33,39.09,81,75,5.75,US,1712084772
24,al bawiti,28.3492,28.8659,73.06,25,0,14.2,EG,1712084773
25,tazovsky,67.4667,78.7,20.32,95,100,16.64,RU,1712084774
26,dongola,19.1667,30.4833,83.52,13,0,10.02,SD,1712084775
27,badger,64.8,-147.5333,11.98,69,100,6.91,US,1712084666
28,ust-nera,64.5667,143.2,-7.1,95,68,1.97,RU,1712084776
29,tshabong,-26.05,22.45,78.44,47,93,6.24,BW,1712084538
30,bilibino,68.0546,166.4372,-16.85,87,4,4.23,RU,1712084778
31,olonkinbyen,70.9221,-8.7187,23.25,63,80,10.45,SJ,1712084778
32,waitangi,-43.9535,-176.5597,54.82,95,100,1.01,NZ,1712084779
33,warman,52.3168,-106.5679,44.51,52,20,5.75,CA,1712084765
34,caluula,11.9661,50.7569,82.42,75,100,15.64,SO,1712084780
35,bardai,11.65,7.2333,87.26,14,44,3.36,NG,1712084781
36,aasiaat,68.7098,-52.8699,25.93,83,66,5.03,GL,1712084598
37,puerto natales,-51.7236,-72.4875,45.05,49,40,14.97,CL,1712084554
38,adamstown,-25.066,-130.1015,74.98,73,97,27.18,PN,1712084783
